フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,正直に言うと今の経営の仕方ならこの先も楽にはならない可能性は高いです
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,"大赤字じゃない
でも余裕もない
なんとなく回っているけどずっと気が休まらん"
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"・自分が動かないと回らない
・判断が全部自分に集まる
・忙しいのに、未来が見えん
経営のやり方が一個前のフェーズのままなだけです
そのままやと、今の延長線上に「楽になる未来」はないですよ"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"この漠然とした不安はあなたがサボっているからじゃありません
むしろ逆でちゃんと経営しているから
違和感に気づいている証拠です
少しの意識でいいので
・数字を感覚から切り離す
・判断を仕組みに落とす
・自分しかできない仕事を減らす
というところから始めてみてはいかがですか？"
,,,,
,"8
今伸びてるもの",,ネタメモ：賄い,
構成,,秒数,シーン,"①セリフを考える（ライティング）
8本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,賄い無料にしてたら税務調査で追加徴税を食らう可能性普通にありますよ
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"賄いが無料やと現物給与、要は給料の一部と見なされやすいです
・従業員が食事価額の50％以上を負担していること
・会社負担分が、1か月あたり3,500円（税抜）以下であること
このどちらかを外すと、差額は現物給与となり課税対象になります。"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,リスクを負いたくないのであれば明日担当の税理士さんに確認してみてくださいね
,,,,
,"9
今伸びてるもの",,ネタメモ：労基法違反,
構成,,秒数,シーン,"①セリフを考える（ライティング）
9本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,飲食店、休憩の与え方で労基法違反しているケースがかなり多いです
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"お客様や業者さんが来たらすぐ対応する休憩
休憩中も電話・指示待ち
分割しすぎの細切れ休憩
これら全てアウトです
労働基準法 労基法が定める「休憩」の正確なポイントは3つです
① 休憩は「途中」に与える
→ シフト前後にまとめて付けるのは原則NG
② 一斉に与える
→ ただ飲食は「一斉付与の例外業種」なのでOK
③ 自由利用であること（最重要）
→ 業務から完全に解放されていること
飲食店が違反になるのは、ほぼ③です。"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"違反が発覚したら何が起きるかというと
・労基署是正勧告
・過去分の未払い賃金請求
・悪質やと書類送検
特に最近は、退職者の通報が一番多い。
「忙しかっただけ」は一切考慮されません
休憩は法律で守られた労働条件です"
,,,,
,"10
今伸びてるもの",,ネタメモ：Googleの口コミ→ガイドライン違反,
構成,,秒数,シーン,"①セリフを考える（ライティング）
10本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,知らずにGoogle口コミを集めてるとアカウント停止になりますよ
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"口コミ投稿を条件に割引、商品サービス、ポイント付与、★5でお願いしますなどは全てGoogleガイドライン違反です
また「口コミ書いてくれたら◯◯円引き」は景品表示法違反の可能性が高いです
これ、「少額だからOK」とか「みんなやってるからOK」は一切通用しません"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"口コミはマーケ施策の前に信用情報です
短期で増やそうとすると必ず間違った運用になりかねないです
お店の中身を磨いて書きたくなる状態を作って、積み上げていきましょう"
,,,,
,"11
新テーマ",,ネタメモ：この数字を見ずに決める出店は、ほぼ事故です,
構成,,秒数,シーン,"①セリフを考える（ライティング）
11本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,この数字を見ずに決める出店は、ほぼ事故です
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"固定費をちゃんと見ずに決める出店は経営じゃなくてギャンブルです
「売上はいけそう」「立地は悪くない」この判断が事故の始まりです
固定費は努力で下げられない数字です
固定費が高いと損益分岐点売上も高くなります"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,売上が2〜3割落ちても、この固定費、耐えられるか？を何度も計算してから始めてください
,,,,
,"12
トリガー",,ネタメモ：食品消費税ゼロが飲食店にもたらす影響→PEST分析,
構成,,秒数,シーン,"①セリフを考える（ライティング）
12本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,食品消費税ゼロがどうこう嘆いてた飲食店の経営は1ミリも良くなりません
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"食品消費税がゼロになる、ならない、一部だけ変わる
正直どれでも良かったんです
政治的要因で嘆くのではなく定数として扱うものです
賢い経営者は自分では変えられないという事実を理解し変わったら、どう動くかしか考えてないです"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"政治を嘆く時間は経営にとって一番生産性が低い時間です
政治は環境。経営は行動。
環境に文句を言うお店と、環境に合わせて動くお店
結果が出るのは、いつも後者です"
,,,,
