No,テーマ,シーン1,シーン2,シーン3,シーン4,シーン5,シーン6,シーン7,シーン8,シーン9,シーン10,シーン11,シーン12,シーン13,シーン14,シーン15,シーン16,シーン17,参考例ID
61,契約書をちゃんと読まないとダメ,契約書を読まへんのは、経営判断を捨ててるのと同じですよ。,細かい字ばっかりで、正直読むのしんどい…って後回しにしてませんか？,業者さんから渡された書類、内容もそこそこにサインだけしてません？,そのハンコひとつが、お店の命取りになるんです。,気づいた時には解約できへん、違約金で数百万円…なんて話、ホンマにあるんですよ。,「まあ、今まで大丈夫やったし…」って心のどこかで思ってますよね？,忙しい現場の合間に、あんな分厚い書類を読む時間ないって気持ち、めっちゃわかります。,でも『まさかウチが騙されるわけない』って、相手を信じたい気持ちが邪魔してません？,その優しさが、自分の首を絞めることになります。経営者はお店を守らなあかんのです。,今から、全部読まんでもお店を守れる『契約書の読み方』、教えます。,契約書を読む店はリスクを管理できる。読まへん店はリスクに管理されるんです。,契約書って、お店の『保険』みたいなもんですよ。入ってへんかったら、事故った時どうします？,契約書は全部読まんでええ。不利になるポイントだけ見抜くんです。,見るべきはたった3つ。『解約条件』『責任の所在』『期間と更新』。これだけです。,書類もらったら、まずこの3つに赤ペンで線を引いてください。それだけで十分です。,この一手間が、未来の「しまった…」を防いでくれるお守りになりますよ。,契約は作業やない。お店を守るための、大事な経営リテラシーです。,夜営業で売上伸び悩んでるお店のソフトドリンクの発想が間違ってる;人が辞めないチームの作り方　給与より信じたくなる空気があるか;AI×飲食　ChatGPTでできる3つの時短;料理のこだわりより、提供の仕組み　味は記憶。動線は現実。;売上あっても潰れるリアルな損益構造を全項目数値付きで可視化　FL・販管費・借入返済など
62,バックオフィスを作るなら絶対に経理から,バックオフィス、人事や総務から作ってませんか？それ、お店潰す典型的なパターンです。,「なんか儲かってる感じせえへんな…」って、どんぶり勘定になってません？,とりあえず人手が足りんから人事、お店の雰囲気良くしたいから広報…って、目先のことに飛びついてません？,それ、順番が完全に逆なんです。,経理を後回しにすると、気づいた時には資金ショート寸前。どこから手つけてええか分からんようになりますよ。,「俺の勘は当たる」って、心のどこかで思ってません？組織が大きくなるとその勘、だんだんズレてきます。,分かりますよ。現場が忙しいのに、細かい数字見るのしんどいですよね。,ほんまは「数字見るの怖いな」「誰かに丸投げしたいな」って思ってるんちゃいます？,その気持ち、痛いほど分かります。でも社長が数字から逃げたら、お店は前に進まれへんのです。,このあと、なんで人事や総務より先に『経理』を固めるべきか、その理由をハッキリお伝えします。,経理がある店は地図見ながら運転してるようなもん。ない店は、目隠しで運転してるのと一緒ですわ。,お店を船に例えるなら、経理はどっちに進むべきか教えてくれる羅針盤。これなしで航海に出るのは無謀すぎます。,結論、バックオフィスは絶対に経理からです。経営は数字でしか前に進みません。,経理が整うと、月次で利益が見える、原価と人件費のズレに気づける、投資すべきか判断できる。この3つが分かるようになります。,まずは毎月の試算表を翌月10日までに必ず出す。それだけで見える世界がガラッと変わります。,もう「なんとなく」で悩むのは終わりにしましょ。数字が、あなたの判断をしっかり支えてくれますよ。,経理はただの事務やない。未来を決めるための意思決定部署なんです。まずは自社の数字、見てみてください。,繁盛店＝「良さげな店」ではなく勝ちパターンを持ってる店;飲食店経営は“戦時”と“平時”を分けて考えろ;ABC分析;こだわりすぎて財務ぐだぐだ→実はこんなお店が好き;飲食店経営は数字が全て　でも数字の裏には人がいることを忘れるな
63,補助金に頼ってたら銀行からお金借りにくくなりますよ,補助金頼りの経営、実は銀行からお金借りにくくなるって知ってました？,「補助金もらえたし、これで新しい設備を導入できる！」って、ちょっと安心してますよね。,使える補助金は全部使わな損や！って、常にアンテナ張ってたりしませんか？,でも、その考え方が一番危ないんです。,いざという時に「このお店、補助金がないと回らないんやな」って見られて、融資を断られる未来が待ってますよ。,「いやいや、キャッシュフロー助かるし、もらえるもんはもらっとくべきやろ」って思いますよね？,そらそうです。目の前の資金繰りが楽になるのは事実ですもんね。,「少しでもお店を良くしたい」「このチャンスを逃したくない」っていう真面目な気持ち、めっちゃ分かります。,でもその気持ちが、気づかんうちに“自力で走れない経営体質”を作ってるかもしれへんのです。,このあと、なぜ補助金が銀行評価を下げるのか、そのカラクリと正しい使い方を3つのポイントで解説します。,補助金を経営の「主役」にするお店と、「ブースト機能」として使うお店。この差が5年後の生存率を分けます。,補助金って、痛み止めみたいなもん。根本治療せんと使い続けたら、体がボロボロになるのと一緒ですわ。,結論、補助金は「それが無くても黒字になる、もしくは投資回収できる」と説明できる時にしか使ったらあかんのです。,補助金に頼ると①投資判断が甘なる ②固定費だけが増える ③銀行から警戒される、この3つの罠にハマります。,何か投資する時、「この補助金がなかったら、ほんまに今これに投資するやろか？」って自分に聞いてみてください。,その投資、ROIが曖昧なまま固定費だけ増やしてませんか？じわじわ利益が薄くなってもしんどいだけですよ。,補助金はあくまでブースター。自力で走れる経営体質を作ることが、一番の安定策ですからね。,誕生日よりも水曜日を狙え;アルコール出ない問題;こだわりすぎて財務ぐだぐだ→実はこんなお店が好き;今もコロナ前と同じやり方してる店　変わらないことがリスク;通販・実店舗・百貨店、全部やるべきほんまの理由は売上じゃなく耐性を作ってる
64,一回に食べれる総量300g〜500g,一皿のボリューム、サービスやと思ってませんか？それ、めっちゃ危ない考え方です。,「お腹いっぱいになってほしい」って気持ち、めっちゃ分かります。,でもそのせいで、一皿で満足させて「ごちそうさま」って帰られてる。,それ、自分で客単価下げてるのと同じなんです。,善意のつもりが次のオーダーの芽を摘んで、結果的にお店の首を絞めてるんですわ。,「うちはボリュームが売りやから…」って、そこを変えるの、正直怖く感じてませんか？,お客様をがっかりさせたくない、満足度を下げたくないって気持ち、痛いほど分かります。,でも心のどこかで「もう一品頼んでくれたらなぁ…」って思ってるはずです。,その優しさが、実はお客様の「次の楽しみ」を奪ってる可能性もあるんです。,これから話すのは、量を減らすんやなくて、「もう一品」を生み出すための“余白”の作り方です。,満腹で帰す店と、「次は何にしよかな」ってワクワクして帰る店、どっちがリピートに繋がると思います？,ラーメン屋さんの「替え玉」って、最初から大盛りにするより満足度高くないですか？あの感覚ですわ。,答えはシンプルで、人が美味しく食べられる量、300gから500gの法則を意識することです。,一皿の量をコントロールして、「あともうちょい食べれるな」っていう絶妙なラインを狙うんです。,まずは看板メニューのグラム数を測ってみてください。サイドメニューとの組み合わせで、次の一皿への導線を作るんです。,量を調整するのは罪悪感あるかもしれん。でもそれは、お客様に「次の楽しみ」を提案する優しさなんです。,満腹は一瞬の満足。「もう一品」の余白が、未来の売上を作ります。,予約ゼロ→満席に変えた価格の順番　値下げより設計が先;集客の相談より「人」に関する問い合わせが一番多い;マクドナルドから真似すべき戦法;こだわりすぎて財務ぐだぐだ→実はこんなお店が好き;意思決定と合意形成
65,ABC分析による利益改善方法,ABC分析、やってるつもりで利益逃してんで。,「数字は出したけど、結局メニュー変えられへん…」てなってません？,とりあえずAランクの商品を眺めて、満足して終わり、みたいなことしてへん？,それ、分析の意味ないです。,このままやと、売れてるけど儲からん商品ばっかり出て、忙しいのに利益はスカスカっていう最悪のループにハマります。,「うちの看板メニューはCランクやけど外されへん」って、見て見ぬフリしてません？,とはいえ、長年やってきたメニュー構成をいきなり変えるのって勇気いりますよね。,でも心のどこかでは、もっと賢く利益出したいって思ってるはずです。,そのままでええなら止めへんけど、本気で店残したいなら今日の話は絶対聞いてください。,今日はABC分析を「ただの分析」から「儲かるメニュー表」に変える具体的な方法を話します。,分析で終わる店は売上に振り回される。分析を活かす店は売上を作りにいけるんです。,メニュー表って、ただの品書きやないんです。一番仕事してくれる無言の営業マンなんですわ。,結論、ABC分析はメニュー表に反映できてへん時点で、やってる意味ないです。,大事なんは、原価パフォーマンスが良いBランク商品を、見せ方でAランクに意図的に引き上げることなんです。,Aは維持、Cは見直し。そして儲かるBランクを写真付きで一番目立つ場所に置く。お客様の目線を誘導するんです。,自分たちの手で利益を生み出してるって実感、めっちゃやりがい感じません？,メニューは一覧表やなく、営業ツールです。数字で分けて、見せ方で誘導する。それが利益改善の第一歩ですわ。,SNS投稿ばかり頑張っている人、まずは自分のお店のリピーター比率を理解しましょう（マーケティングファネル）;メニュー開発は固定概念に囚われてはいけない（リフレーミング）;飲食店経営は数字が全て　でも数字の裏には人がいることを忘れるな;人が辞めないチームの作り方　給与より信じたくなる空気があるか;料理のこだわりより、提供の仕組み　味は記憶。動線は現実。
66,どうやったら相談できますか？→無料面談,「どうやったら相談できますか？」ってめっちゃ聞かれるんですが…,相談したいけど、なんかハードル高いなぁ…って思てませんか？,「こんな初歩的なこと聞いてええんかな」とか、「ちゃんと話まとめなあかん」とか考えてまう。,それ、全部いりません。,一人で抱え込んで、誰にも相談できんまま時間だけが過ぎていく…これが一番しんどいんです。,ほんまは誰かに話聞いてもらいたいけど、周りに相談できる人もおらん…って状況ちゃいます？,今のやり方が合ってるんか、客観的な意見が欲しいって気持ち、めっちゃ分かります。,でも心のどこかで「自分の悩みを分かってもらわれへんかったらどうしよう」って不安なんですよね。,その気持ち、大事にしてほしい。でも、一歩踏み出さんと何も変わらへんのも事実です。,今日は、僕がやってる無料面談が、なんでそんなに気軽に相談できるんか、その理由をお伝えします。,よくある「契約ありきの面談」と、「ただ話を聞いて整理するだけの面談」は全然ちゃいます。,まかない作るみたいに、今ある材料（悩み）をそのまま持ってきてもらうだけでええんです。,僕への相談は、DM一本で大丈夫です。,特別な準備も、上手く話す必要もありません。一時間、今の状況をそのまま話してください。,DMで「無料面談」って送ってもらえれば、僕から日程調整の連絡をさせてもらいます。,悩みを自分の言葉で話せた時点で、もう経営は一歩前に進んでるんです。,もし今、一人で考えるのがしんどいなら、DMで「無料面談」と送ってください。,撤退しない店舗作りのための「最初の一等地」より、「最後に残る一席」の選び方;リピーター比率＝再訪人数÷来店延人数で算出　SNSが生きる最低条件を可視化　改善策（商品・接客・体験設計）;無借金経営のデメリット;SNS投稿ばかり頑張っている人、まずは自分のお店のリピーター比率を理解しましょう（マーケティングファネル）;FL比率
67,正直に言うと、 今の経営の仕方なら“この先も楽にはならない”可能性は高い,正直に言うと、今の経営の仕方やとこの先も楽にはならへん可能性、高いです。,毎日必死で働いてるのに、なんでかずっとしんどい…って感じてませんか？,結局、自分が現場におらんと店が回らん。判断も全部自分に集まってくる。,それ、もう経営のやり方が一個前のフェーズのままなだけです。,このまやと、5年後も10年後も同じ場所で走り続けることになります。体力だけが削られて。,「いつか楽になるはず」って、自分に言い聞かせてません？,忙しいのに、未来が見えへん。この漠然とした不安、めっちゃ分かります。,ほんまはもっと、新しいメニュー考えたり、店の将来のこと考えたいのに…って思ってますよね。,その気持ち、正しいんです。でも、今のやり方の延長線上に“楽になる未来”はないですよ。,今日は、その“忙しいのに儲からないループ”から抜け出すための、経営のフェーズの変え方について話します。,プレイヤーの仕事は“店を回すこと”。経営者の仕事は“自分が居なくても回る店を作ること”なんです。,自転車を必死で漕いでる状態から、エンジンを積む作業に切り替えるイメージ。漕ぎながらエンジンは作れません。,答えはシンプルで、“自分しかできない仕事”を徹底的に減らすことです。,ポイントは3つ。数字を感覚から切り離す、判断を仕組みに落とす、そして人に任せる勇気を持つこと。,まずは1日の自分の仕事を全部書き出して、「これ、自分じゃなくてもできるな」って仕事に印つけてみてください。,この不安を感じてるのって、あなたがサボってるからやないんです。ちゃんと経営と向き合ってる証拠なんですよ。,その違和感を信じて。まずは判断を仕組みに落とすことから始めてみてください。,売上が下がったときは割引じゃなく販路を増やせ;開業3年以内に潰れる飲食店の共通点「自己流」は99％破滅の道;アルバイトがプロになる職場　マニュアルより哲学が共有されてるか？;飲食店がキッチンカー参入で儲からない理由;誕生日よりも水曜日を狙え
68,賄い,その賄い、無料にしてたら税務署にガッツリ怒られますよ。,スタッフのためやし、飯くらいタダでええやんって思いますよね？,今日も「お疲れさん」言うて、当たり前のように無料で振る舞ってません？,その優しさ、実はめちゃくちゃ危ない落とし穴なんですわ。,放置してたら、ある日突然「はい追徴課税です」って何十万も請求される未来が待ってますよ。,「え、賄いが給料扱い？そんなん聞いたことないわ…」って今、焦ってません？,スタッフのやる気にも繋がるし、ええことやと思ってやってますもんね。その気持ち、よう分かります。,でも正直、こんな細かいルールまで気にせなあかんの、しんどいですよね。,気持ちはほんまに分かるけど、「知らんかった」じゃ済まされへんのが経営の世界なんです。,この後、スタッフも納得してくれて、税務署にも突っ込まれへん「完璧な賄いルール」を教えますね。,ただの「無料の飯」と、法律に則った「福利厚生」。全然意味が違うんです。,賄いって、お店からしたら「お金の代わりに物で渡してる給料」と見なされることがあるんですよ。,結論、賄いは無料にしたらアカン。ちゃんとルール通りに一部お金をもらうのが正解です。,"ポイントは２つ。従業員が食事代の半分以上を払うか、お店の負担額が月3,500円以下か、です。",例えば食事の原価が500円なら、250円は給料から天引きする。これだけでクリアできます。,ちょっと面倒かもしれんけど、これで安心して美味しい賄いを提供できるんやったら、ええでしょ？,リスクをゼロにしたいなら、明日担当の税理士さんに一回確認してみてくださいね。,竹矢匠吾が思う飲食店経営のやりがい;繁盛店＝「良さげな店」ではなく勝ちパターンを持ってる店;マルチチャネル経営が必須;FL比率;集客に即効性を求めてはいけない
69,労基法違反,飲食店、休憩の与え方で労基法違反してるケース、めちゃくちゃ多いですよ。,「忙しい時間帯やし、しゃあない」って、どこかで思ってません？,休憩中やけど電話は取る、業者さん来たら対応する。それが当たり前になってる。,それ、全部アウトです。,このままだと、辞めたスタッフからある日突然、未払い賃金の請求が届きますよ。,「うちはスタッフと仲ええから大丈夫」って思ってるかもしれませんが、辞める時ってそんな甘ないです。,ほんまはちゃんと休ませたいけど、店が回らんのが現実や…って悩んでますよね。,結局、経営者自身も完全に休めてへん。そのしんどさ、ようわかります。,でも、「知らんかった」も「忙しかった」も、法律の前では一切通用せえへんのです。,このあと、飲食店の休憩で絶対におさえなあかん、たった１つの重要なポイントを話します。,あなたが「休憩」やと思ってる時間と、法律が定める「休憩」、全然意味がちゃうんです。,休憩って、スマホでいう「機内モード」みたいなもん。業務の電波から完全に遮断せなあかんのですわ。,労基法が求める休憩のたった一つの答えは、「労働から完全に解放されている」ことです。,電話番させへん、指示待ちさせへん、来客対応もさせへん。この3つを徹底してください。,休憩中は「何があっても呼ばへんから、ゆっくりして」と伝えて、実際にそうする。もう、それだけです。,スタッフが心から休める環境を作ってあげることが、結局お店の空気を良くするんです。,休憩は福利厚生やない。法律で決まった労働条件です。スタッフを守ることが、お店を守る一番の近道なんです。,お客様の怒りや渇望→マーケ;閉業率が高く絶対に選ばない3つの業態;現場の1秒が崩れると、客単価が300円下がる　動線の再設計術;こだわりすぎて財務ぐだぐだ→実はこんなお店が好き;ゾーニング
70,Googleの口コミ→ガイドライン違反,その口コミの集め方、ある日突然GoogleからBANされますよ。,はよ口コミ増やさな！って焦って、つい危ない橋渡ってません？,「口コミ書いてくれたらドリンク1杯サービス！」とか、ついやってしもてません？,それ、完全にアウトです。,ある日突然、お店のマップ情報が消えて、お客様が誰一人来なくなる…なんてこともあり得ますよ。,「ちょっとくらいええやろ」「バレへんかったら大丈夫」って、心のどこかで思ってません？,分かりますよ。真面目にやってるのに口コミが増えへんの、ほんまにしんどいですよね。,ほんまは、ズルせんと正々堂々評価されたい。でも、手っ取り早い方法にすがりたなる気持ち、ありますよね。,その気持ちは痛いほど分かります。でも、その近道がお店の信用を失う一番の落とし穴なんですわ。,今日は、Googleに嫌われずに、お客様から自然と応援される口コミの集め方についてお話します。,お金で買う口コミと、心で書いてもらう口コミ。どっちがお店の財産になるか、もう分かりますよね。,口コミって、お店の通信簿みたいなもん。お金で良い点数買うたら、それってカンニングと一緒ちゃいます？,結論、見返りを約束して口コミを依頼するのは全部NGです。,割引、一品サービス、ポイント付与。これ全部、Googleのガイドライン違反。あと『星5でお願いします』もアカン。,それに『口コミで割引』は景品表示法に引っかかる可能性も高い。グレーゾーンは攻めたらあきません。,小手先のテクニックより、お客様が『応援したい！』って心から思えるお店づくりが、一番の近道なんです。,口コミは信用そのもの。焦らず、お店の価値をコツコツ積み上げていきましょ。,試食の仕方　ワンポーション食わんかい;やりがいじゃなく仕掛けマネジメント;売上目標の決め方;夜営業で売上伸び悩んでるお店のソフトドリンクの発想が間違ってる;Google口コミ＝QSC＋店舗内研修
71,この数字を見ずに決める出店は、ほぼ事故です,この数字を見ずに決める出店は、ほぼ事故です。,「売上はいけそう」「立地は悪くない」…その感覚、一番危ないですよ。,夢が膨らんで、ええイメージだけで話進めてませんか？,それ、経営じゃなくてただのギャンブルです。,オープン景気が終わった途端、売上がちょっと落ちただけで毎月赤字。そんな未来、見えてますよ。,「売上さえ立てばなんとかなる」って、心のどこかで思ってません？,出店前ってワクワクするし、細かい数字見るの、正直しんどいですよね。よう分かります。,はよ自分の店持ちたい！その気持ちが先走って、一番大事なことから目ぇそらしてまうんです。,その気持ちは大事やけど、そのままだとオープンがゴールの店になってまいますよ。,今日は、出店をギャンブルにせえへんために、絶対に見なあかん『ある数字』について話します。,売上予測は希望的観測。でも、固定費は毎月確実に襲ってくる現実です。,固定費って、船のイカリみたいなもんです。重すぎたら、どんなに頑張って漕いでも前に進みません。,結論、見るべき数字は『固定費』です。これだけは絶対に甘く見たらあきません。,家賃、人件費、リース代。この3つは努力で下げられへん数字やって、肝に銘じてください。,まず固定費を全部書き出して、損益分岐点売上を計算する。これやらんとハンコ押しちゃダメです。,厳しい数字と向き合うんは、自分の夢を自分で守るための一番大事な仕事です。,売上が2〜3割落ちても、この固定費で耐えられるか？何度も計算してから始めてください。,試食の仕方　ワンポーション食わんかい;焼肉屋の仕込みの壁を超える仕組みとは;週に一回15分の1on1が行えないお店は組織構造、時間の使い方をまず疑え;オーナーしか作れない属人料理;意思決定と合意形成
72,食品消費税ゼロが飲食店にもたらす影響→PEST分析,食品消費税ゼロを嘆いてるお店ほど、経営が1ミリも良くなりません。,「税金さえ安くなれば、もっと楽になるのに…」って、つい思ってしまいますよね？,ニュース見ては「またか…」って愚痴ったり、SNSで政治批判したりしてませんか？,それ、経営ちゃいます。ただの現実逃避です。,環境のせいにしてる間に、ライバル店は次の手を考えて、静かにお客さんを奪っていきますよ。,「自分じゃどうしようもないことに時間使うの、ほんまは無駄や」って、心のどこかで気づいてません？,そらね、税金はしんどい。嘆きたくなる気持ち、めっちゃ分かりますよ。,でもそれって、「政治が変わってくれたら楽になるのに」っていう、ちょっとした甘えでもあるんですよね。,その気持ちは分かるけど、政治が変わるのを待ってる間に、お店の体力はどんどん削られていきます。,今日は、政治や経済のせいにせんと、どんな環境でも勝ち残る店の“考え方のOS”を話します。,環境に文句を言う店と、環境を“前提”として動く店。どっちが生き残ると思いますか？,天気予報見て「なんで雨やねん！」って怒るんじゃなくて、「雨やからデリバリー強化しよ」って考えるのが経営者でしょ？,政治や税制は、僕らにとって変えられへん“定数”です。嘆く対象やなくて、ただの“前提条件”なんです。,賢い経営者は、政治・経済・社会・技術、この4つの変化を「脅威」やなく「機会」として見てます。,「もしこうなったら？」ってシナリオを3つ考えて、今から準備しとくだけで、周りと圧倒的な差がつきます。,変えられへんことで悩むより、変えられる自分たちの行動に集中するほうが、絶対楽しいし、結果も出ますよ。,政治は環境、経営は行動です。環境に合わせて動くお店が、いつの時代も強いんです。,スタッフに任せる前に、なんでやるべきかの視座を揃える　自由＝放置じゃない;あなたの店、SNSやる前に現場の空気が整ってますか？;飲食店は立地で決まる？;売上が下がったときは割引じゃなく販路を増やせ;意思決定と合意形成
