ネタメモ：ゾーニング,,
14,ただ刈り取り型集客は売上になるし現金が欲しいときは武器になるのは確かです,
15,でもそれを続けるあなたはいつか広告依存症になります,
16,今のあなたがしんどいのは集客が下手なんじゃなくてリピートさせる仕組みがないだけ,
17,"今日からお会計時に「LINE登録してくれたらドリンク1杯無料です」とかのお声がけ実施してください
その積み重ねがリピートに繋がります",
,,
ネタメモ：アルコール出ない問題,,
シーン,①セリフを考える（ライティング）,
1,お酒の消費量、一人当たり何ℓか知ってますか？,
2,1992年には一人当たり年間約102ℓあった消費量が2022年には75ℓに減少してます,
3,"僕はお酒大好きですし、よく飲むんですが26％も減少してるらしいんです
（ビール飲むシーン入れる）",
4,いや、若者も飲まんかい！とは言えないので,
5,ノンアルコールや低アルコール飲料の充実をさせましょう,
6,経済的に、健康的に、そもそもアルコール好きじゃない色んな理由がありますが,
7,ノンアルコールや低アルコールを適当にしている店舗多すぎます,
8,例えば、フルーツを使ったノンアルカクテルは見た目も華やかで女性ウケ抜群です,
9,最近ではモクテルといってノンアルコールのカクテル市場も確立されています,
10,アルコール以外のドリンクメニューを充実させて新たな顧客層を獲得できるとしたらやらない理由はないですよね？,
11,今までお酒が飲めないが理由で取りこぼしてた層も来てくれるとなると売上も変わってきますよね,
12,時代の需要に対応することも飲食店経営の成功の鍵です,
13,このようにデータを活用して戦略的にメニューを構築しましょう,
14,ノンアル・低アルコールメニューの提供がわからないって方,
15,メニュー開発もお手伝いできますのでいつでも僕にDMください,
16,「アルコールは売れへんわ」って諦めてしまう前に、時代の変化に一歩踏み出してみてください,
17,僕はその挑戦に全力で協力します,
,,
ネタメモ：飲食店がキッチンカー参入で儲からない理由,,
シーン,①セリフを考える（ライティング）,
1,誰がキッチンカーは楽って言った？,
2,キッチンカーは儲かる！って思ってるなら、まずこの数字見て欲しいんやけど,
3,"30食×単価1,000円＝売上3万円
天気悪けりゃ売り上げも半減",
4,そこから仕入れ、燃料、出店料、移動費、全部引くと…利益ほぼゼロやで？,
5,売上の足しにしたいって安易に初めて結局車庫で眠ってる店舗ごまんと見てきたわ,
6,ここまで言っても「ウチの看板商品ならイケるかも」ってまだ少しワクワクしてませんか？,
7,"僕も昔それで大失敗しました
これは売れる！って最初は正直期待してました",
8,でも蓋を開けてみたら1日売上1万円…なんてことも,
9,キッチンカーは売れるかどうかより、勝ち方を先に決めとかないといけません,
10,そのためにキッチンカーが難しい6つの理由を一気にお伝えします,
11,"①高単価商品が売りづらく売上の天井が見えやすい
②天気と立地に完全依存してしまうため雨恨みがち",
12,"③車体・発電機・出店料…と初期費用と維持費が想像以上に重い
④仕込み・移動・片付けで1日の時間拘束は店舗を回すのと変わらず一人で回すのは地獄",
13,"⑤ブランドが蓄積しづらくSNSやGoogleでリピーターを育てられへん
⑥エリアごとのルールがあったり県を跨ぐ際の規制など実は面倒が多い",
14,"だからこそ、商品設計と役割の明確化が鍵
かき氷やビールなど利益率と回転率が両立する商品を選ぶ必要があります",
15,さらに、何のためにキッチンカーを経営するか明確にしないと途中で諦める羽目になります,
16,それでもやりたい方はブランド認知？販促？テスト販売？それによって戦い方は変わります,
17,本気の方はまず自分の料理を売り出すのではなく戦略的な商品選びから始めましょう,
,,
ネタメモ：無意識のクセが命取り（所作は人格、ふるまいはブランド）,,
シーン,①セリフを考える（ライティング）,
1,所作は人格、ふるまいはブランドです,
2,ちゃんと接客してるのに、なぜか評価低い方,
3,それ原因は無意識の癖かもしれません,
4,"と言われても気付かないですよね
無意識ですし",
5,"教育者であるあなたも本人すらも気づいてない非言語のノイズなんです
お皿置くときのガチャンって音、発声が聞き取りにくい、歩き方がシュッとしてない
全部お客さんは見てるんです",
6,「この子、何が足りひんねんやろ」って何度も頭の中でぐるぐるしてませんか？,
7,僕も現場にいた頃、良い子やのになんかお客さんが離れていくスタッフいました,
8,「もしかしたら自分の教え方が悪いんかな？」って自分を責めて勝手に落ち込んだ日もあります,
9,でもそれその子が悪いわけでも、あなたが悪いわけでもなくて見えてなかっただけなんです,
10,今後悩まされないために無意識の癖がどれほどサービスに影響してるか4つの軸で解説します,
11,"①顧客心理
人は所作の印象で評価・判断してます
どんなに丁寧な言葉でも、目線や手元がズレてたらそれだけで“冷たいって思われるんです",
12,"②接客品質
癖のある子が1人いると店全体の接客基準が下がります
これは人は真似て学ぶ特性があるため癖は習慣になり文化になります",
13,"③チームの空気
無意識のイライラ所作は空気を壊します
言葉より背中で伝わってしまうんです",
14,"④ブランド力
人の所作こそが記憶になります
雑な所作は忘れられ、丁寧な所作は記憶に残ります
商品ではなく人を記憶されるお店は、長く強いブランドになるのでおさえておきましょう",
15,そうは言っても無意識や癖は治せへんやろって諦めるのはまだ早くて,
16,【見える化→意味づけ→型→空気】の順番で治すことです,
17,気合いや根性で治そうとせずに本気で困ってる方は僕にDMで聞いてきてください,
,,
ネタメモ：ぶっちゃけ飲食店の成功は立地で決まるかどうか,,
シーン,①セリフを考える（ライティング）,
1,立地が良くないと勝てないなら、他の店もとっくに潰れてるはずですよね,
2,いやいや、あそこはもう長いからって現実から目を背けるのはもうやめません？,
3,"でもチラシも配って、値段も下げて、SNSも更新して…
って努力が報われん日々続いてませんか？",
4,実は方法を変えない限りその努力ではずっと空回りします,
5,人が来ない理由を立地のせいにしてたけど、ほんまは気づいてもらう手段を何も持ってなかったことが問題だったんです,
6,今も売上とにらめっこして「どうすれば人来るんやろ？」って考えてませんか,
7,僕も昔、商圏が遠くの立地で苦しんでたオーナーの現場にいました,
8,ただそこは来店動機を作ることに全力で費やすことで解決してました,
9,色んな人に来て欲しい、じゃなくてたった1人のコアなファンを作らないと誰にも届かないブランディングになっているお店が本当この立地の沼にハマります,
10,今日は悪立地でも選ばれるお店になる「明日から実践できる3つ」を話します,
11,①SNSには『誰に来てほしいか』を固定投稿に書く,
12,②Googleマップのトップに、今月の人気料理写真を3枚載せる,
13,③入り口に“初めての人が安心する言葉”を黒板で出す,
14,"まずは何より入店ハードルを下げて
お店を発見してくれた人に「あ、なんかここ好きかも」って思わせるほど尖ること",
15,最近面白いなって思ったのが「身長〇〇センチ以下の飲食店」って謳って天井を低くしてるところもありました,
16,"今までの努力が決して無駄だったわけではなく
もっと鋭利なマーケティングをしていくことが重要です",
17,まずはあなたのお店にしかない「〇〇」を見つけ出してください,
,,
ネタメモ：閉業率が高く絶対に選ばない3つの業態,,
シーン,①セリフを考える（ライティング）,
1,「憧れ」が一番廃業するって知ってます？,
2,「いつか自分の店を持ちたい」って思ったことあるでしょ？,
3,でも僕はいくつも現場を見てきて「この業態はやらんなぁ」って思うものが3つあります,
4,それは経営の構造がキツすぎるから,
5,"まず1つ目が、ラーメン
職人の腕に売上が左右されるし、他のスタッフやと味が安定せん上に再現性が低い
せっかくスタッフが育っても基本独立希望で来るから人手不足に陥りやすい",
6,"２つ目がカフェ
単価が低い上に、回転が悪すぎる
コーヒー1杯で2時間おられたらたまったもんじゃないですよね",
7,"3つ目、テイクアウト専門
こちらも単価が低く他店舗との価格勝負になって利益が削られるだけです",
8,もちろんやりたい気持ちを否定したいんじゃなくてやるなら徹底的な戦略構築が必要です,
9,というのも「やりたい」と言う気持ちだけで潰れてる店舗を僕は何回も見てきたのでそうはなって欲しくないんです,
10,だからこの業態でも戦える解決案をお伝えするので必ずメモってください,
11,"ラーメン屋はまず、あなたがいなくても味・接客・オペレーションが同じレベルで回せる状態かどうかにこだわってください
属人化してたら休みもないし事業としても伸びません",
12,"次にカフェは基本ゆっくりしたい人が多いので
回転率を上げずに単価を上げる仕組みが必要です
ドリンクに＋300円のケーキとか2杯目半額…自然に追加される提案ができてるかを徹底的に作り込んでください",
13,"そしてテイクアウト専門店は価格勝負をしなくても「ここに来たい」って思ってもらえるブランディングがあるか
価格で選ばれる店は必ず潰れます",
14,この考えがなかったお店がどれだけ短期間で潰れたか…,
15,「やってみたい」だけじゃ潰れてしまうのが飲食の世界です,
16,"今すぐあなたが思う戦略構造を紙に書き出してみてください
それがすんなり書けへんなら開業の準備はまだ整ってません",
17,保存して何度も自分に問い返す素材に使ってください,
,,
ネタメモ：繁盛店＝「良さげな店」ではなく勝ちパターンを持ってる店,,
シーン,①セリフを考える（ライティング）,
1,流行ってる店は仕組みがあるだけで「おいしさ」じゃないんです,
2,味も接客も雰囲気もいいのになんか売上が安定しない店ありますよね？,
3,僕が見てきた繁盛店には共通して毎日やってる売上の流れがありました,
4,それが「勝ちパターン」＝毎日回せるルーティンです,
5,"この勝ちパターンの流れが
①仕組みを作る②数字で検証する③決まった動きに固定する
この3ステップで作れます",
6,"隣のあの店なんであんなに人入ってるんやろ…って思ったことありません？
それ、料理じゃなく毎日の流れを決めてるだけかもしれません",
7,"まずは人気商品を一番上に記載する・セット商品を先に表示
など売れるように構造を変えて単価を上げること",
8,"次に改善です
まず事実を見る必要があって売れた数、時間帯、注文された順番、セット率、リピート率
全部、今日の営業に出るので全部記録してください",
9,反応が弱ければ、文言を変える・写真を変える・配置を変えるなど1週間に1つずつ変えて検証すれば結果は変わります,
10,"最後に反応が良かったら変えずに固定
それが勝ちパターンの完成形です",
11,声かけ、POP、LINEの配信時間まで全てを毎日同じ流れで回せるように全ての行動をこの流れに則って経営するだけで1年後の差は天地の差です,
12,今日うまくいったことを明日も再現できるようにするだけで売上は安定します,
13,"多くの店はうまくいったことを記録せずに忘れて次の日またゼロからやってます
繁盛店は成功した流れを二度と崩さない
そこが違うんです",
14,では改めて明日からやるべきことをまとめると,
15,①再現できる日課を決めること②検証していいものは残す③ルーティンに落とし込む,
16,この3つを毎週やれば勝ちパターンは自然に完成します,
17,あなたの店も型を作る準備を今日から始めましょう,
,,
ネタメモ：人気店ほどクレーム多い理由はミスではなく期待値が高いだけ,,
シーン,①セリフを考える（ライティング）,
1,人気店になるとクレームが増えます,
2,え？うまくいってるはずなのに？って思いますよね,
3,僕が見てきた人気店ほど実はクレーム率も高くなる傾向があります,
4,決してあなたは悪くなくて「評価の基準」が変わるからなんです,
5,"無名の店は「加点式」で思ったより良いが評価されるけど
人気店は初めから「100点」を期待して来られるんです",
6,SNSやレビューの影響で勝手に作られた理想があるからこそ「減点されていく構造」なんです,
7,つまりクレームの多くはミスではなく期待との差分なんです,
8,これは「期待値バイアス」と「確証バイアス」という心理学の影響です,
9,人は「この店は絶対すごい」と思い込むと小さなズレに過敏になります,
10,"たとえば「写真よりちょっと小さい」「提供が10分かかった」
たったそれだけで星2になるんです",
11,じゃあ、どうすれば防げるかというと,
12,"ズレを先に潰すことです
混雑時間、提供時間、実物との差は事前に言っておきましょう",
13,"人気店ほど良く見せることより
ガッカリさせないを徹底しています",
14,"一番ズレが出やすいポイントを洗い出して
SNSやweb上で公開してしまう",
15,期待させない工夫というのが実は最高のブランディングなんです,
16,クレームを怒りではなく誤差として捉えると、場は一気にラクになります,
17,人気店のクレームの正体は加点式ではなく減点式にあるという理解だけで心が救われますよね,
,,
ネタメモ：世間の長期休暇に勝つ店・負ける店　イベント任せはもう通用しない,,
シーン,①セリフを考える（ライティング）,
1,長期休暇で負けた店舗は必ず見てください,
2,「人出多いから勝手に来るでしょ」はもう通用しません,
3,"GWに売上が落ちる居酒屋には10個の落とし穴があります
一気に言うのでここからは保存必須ですよ",
4,"① イベントの告知が直前すぎる　お客様はもう他の予定で埋まってますよ
② メニューがいつも通り　せっかくの連休やのに特別感がないと選ばれません
③ SNS投稿が当日ばかり　当日はもう見てないんで予約のきっかけになりません
④ 常連さんに何の案内もない　新規ばかり追って関係性を切ってしまう羽目になります
⑤ 予約フォームがない・または告知してない　空席があるのに予約が入らないへん現状を放置しすぎ
⑥ 単価を上げすぎて気軽さがなくなってる　今は使いやすさが重視されてます、わからん人は過去のリール見てください
⑦ スタッフの確保がギリギリ　対応が遅れて結果お客様に迷惑かけます
⑧ 天候の変化に対応できない　雨が降っただけで終わる集客はやる意味ない
⑨ ファミリー層に合わせてない。夜だけ営業、子連れNG、それじゃ選ばれません。
⑩ 「なんとかなるでしょ」の受け身スタイル。――この思考が一番危ない。",
5,でも逆に、これ全部ちゃんと準備してたら、確実に防げることなんです,
6,"「いや、ウチは毎年そこそこ入るし」って思ってません？
でも実は、あなた自身も内心ちょっと焦ってるんちゃいますか？",
7,"去年のGW、予約って何件入りました？
「覚えてない」ならそれがもう伸び悩む理由なんです

GWって飲食業界の期末テストです
仕組みを作ってきたお店だけが点数を取れる

逆に準備なしで突入するとどれだけ料理が美味しくても落ちます",
8,勝ってる店は1ヶ月以上前から「このGW、どの客層に、どのメニューを、どう届けるか」を明確にしてます,
9,"LINEで先に「GW限定セットあります」と告知して
常連には「先行予約5組まで」で優先席を埋めてます",
10,"SNSでは「◯日だけ空いてます」「予約はこちら」など
選ばれる理由を具体的に言い切ってます",
11,雨が降っても困らないようにテイクアウトメニューと雨の日クーポンも並行で準備してます,
12,"ここまで聞いて「やること多すぎてムリやわ」って思ったかもしれません
でも安心してください
やるべきことは3つだけです",
13,"① LINEで特典付き予約フォームを送る
② SNSでGW限定セットと空き日を毎日発信
③ 常連リストに「早割DM」or「先行予約のお知らせ」を送る",
14,これだけでたまたま来るじゃなく選んで来てもらう状態が作れます,
15,"GWは集客じゃなく「事前の選択設計」です
来年のGWはもう今の準備で9割決まってます",
16,,
17,,
,,
ネタメモ：バイトの意識が劇変する現場研修のやり方とは,,
シーン,①セリフを考える（ライティング）,
1,「また辞めた…なんで続かんのやろ」って心のどこかで自分を責めてませんか？,
2,"真面目に教えてるのに覚えてくれへん…
怒ったら雰囲気悪くなるしもうどうしたらええねん…ってなるやつですよね",
3,実はバイトが続かない理由は気持ちが動いてないからなんです,
4,"マニュアル読ませてあとは先輩の後ろについて終わり…
これやと「なぜその接客をするのか」が伝わってないんです",
5,この状態で育った子は「とりあえず指示待ちでやるだけ」になります,
6,僕も昔これで頭抱えて「頑張って教えてるのに全然響いてへんわ」って毎回悩んでました,
7,"ある時わざと新人に接客をやってもらったんです
緊張しながらも必死にやってくれて
でもお世辞にも上手とは言えない接客でした",
8,"それを見た子たちが「それイヤやな」「自分だったらこうするかも」
って話し始めた瞬間に目の色が変わったんです",
9,「あ、今この子たち頭じゃなくて気持ちで動いとる」って思いました,
10,そのあとからは言われなくても自分から声出して目配りもできるようになりました,
11,大事なのは「こうしなさい」って言う前に一回自分で気づいてもらうことをやったんです,
12,"これは明日からでもできます
まずこれだけやってみてください",
13,"① あえて接客をやらせてみる
②上手くない例と、されて嬉しい例を本人に自覚を持ってもらう
③「あなたが新人に伝えるなら何て言う？」って考えさせる",
14,これだけで「気づける子」「人に伝えられる子」が増えてきます,
15,接客って「正解を言われる」より「自分で気づいたこと」の方がずっと強く残るんです,
16,そのきっかけの瞬間は誰でもつくれます,
17,"今あなたが教えたその子が5年後に
「この仕事を好きになれたんです」って言ってる未来を作りたくないですか？",
,,
ネタメモ：夜営業で売上伸び悩んでるお店のソフトドリンクの発想が間違ってる,,
シーン,①セリフを考える（ライティング）,
1,アルコールはもう出ません！,
2,"今お酒を飲まない人ってめちゃくちゃ増えてるんです
20代女性の約70%が「基本飲まない」っていうデータ知ってました？",
3,にも関わらず夜営業のお店っていまだに「お酒が飲めない人は我慢」みたいな空気になってません？,
4,この時代にその選択肢の少なさはマジで致命傷です,
5,"飲めない人が「もう来たくない」って思うのは料理のせいじゃないんです
「居心地がない」って思わせた瞬間にその人の再来は消えてしまいます",
6,"「あ、ウチに来る2人組、そういや片方はいつも水やな…」
って思い当たる節ないですか？",
7,"確かにメニュー作る時「ウーロンでええやろ」って思いますよね
でもノンアルコールを強化しただけで来店者の笑顔も滞在時間もぜんぶ変わったんですよ",
8,飲まない人って「選べない寂しさ」をずっと我慢してるんですよ,
9,お店側がそのまま無視してたらマジで酒飲み専用の古いお店ってラベル貼られますよ,
10,今日のリールで伝えたいのは「ノンアルの一杯がお店の未来を変える」っていう話です,
11,お酒のお店＝夜営業の主役だった時代からノンアルも主役になれる時代になりました,
12,"映画も主演だけじゃ成立しないでしょ？
ノンアルって実は場を支える名脇役なんです",
13,"ノンアルは誰もが楽しめる店をつくる最強のピースです
実際に飲めない人向けに設計されたメニューを導入した店舗では
2人組の滞在時間が平均＋15分、1人あたり客単価＋数円の改善が出ています",
14,"他にもこんな改善案があります
・メニューに「ノンアル専用枠」を新設
・炭酸×和素材で「大人が頼みたくなる味」に
・POPに「飲まない人のための人気No.1」を明記する
これだけで、ソフトドリンクの注文率が1.6倍になった店舗もあります",
15,"飲まない人が「もう1杯、頼んでいいですか？」って笑顔で聞いてくれた時正直嬉しいですよね
選べるってただの権利じゃなくてお店との信頼そのものなんですよね",
16,ノンアルがあったことで話が弾んで食後に1品追加されて閉店ギリギリまで居てもらえたらその日の売上はいつもの何倍も見込めます,
17,"「飲まない人の1杯目」を、誰よりも丁寧に用意してあげてください
その1杯がこれからのお店の繁栄を支えます
",
,,
ネタメモ：意思決定と合意形成,,
シーン,①セリフを考える（ライティング）,
1,スタッフに気を使ってるうちは、一生「社長ごっこ」です,
2,「いやいや、みんなの意見を聞いてから」なんて言ってる店は絶対うまくいきません,
3,スタッフに嫌われたくないからまずみんなの意見を聞いて、なんとなく決めて結局、誰も動かへん,
4,その相談風の会議、ただの時間泥棒です,
5,誰も決めようとせん組織は、誰も責任を持たない空気が生まれます,
6,指示するのは怖い…そう思ってるあなた、優しい顔した無責任になってませんか？,
7,"スタッフと同じ目線で話した上でみんなの意見を大事にしたい
僕もそうでした",
8,でもそれ「自分が決めて失敗したくない」気持ちの現れです,
9,決められない社長に、ついてくる人はいません,
10,"「意思決定」と「合意形成」、この2つを同じものだと思ってるのであればかなりヤバいです
それ、順番が逆なんですよ",
11,"決める→伝える→巻き込む
この順番を間違えると、誰もNoを言えない地獄の店舗経営が始まります",
12,方向も目的地も決まってないバスに、とりあえず乗ってって言ってるのと同じで誰も乗りませんよね？,
13,最初に「決める覚悟」で、そのあとに「聞く余白」この順番が現場を動かします,
14,"意思決定のルールは一つ
社長が責任を背負って先に決める
たったそれだけです",
15,"話し合いは合意のためじゃなくて、納得を引き出す場であり
決まったことを理解してもらうのが社長の仕事です",
16,"頭で理解しても行動にするのは怖いですよね
でも、スタッフに嫌われへんことが目的じゃないですよね？
残したいのはあなた自身のお店でしょ？",
17,あなたがお店の舵切り担当を担うことが社長業の始まりです,
,,
ネタメモ：お客様の怒りや渇望→マーケ,,
シーン,①セリフを考える（ライティング）,
1,まだ「いいもの作れば売れる」って思ってるやろ？,
2,「商品には自信あるけど反応がない。」こんな違和感ずっと抱えてませんか？,
3,"SNSに料理写真、店内動画、キャンペーン投稿
やれることは全部やってるつもりになってますよね",
4,でもそれ、「伝えてる」じゃなくて「発信してるだけ」です,
5,このままじゃ、選ばれる理由が曖昧なまま、他の飲食店と見た目の差だけで比較されて終わります,
6,うちの強みって何なんやろって、言語化できずに止まってますよね,
7,ほんまは、選ばれる理由をちゃんと理解しておきたい,
8,それに発信もしてるんやからちゃんと見てほしい、そんな気持ちが毎日続いてませんか？,
9,"でも気づいてもらえるのを待つ店はいつか埋もれます
気づかせるのがあなたの仕事です。",
10,"じゃあどうすればいいかというと、お客様が心の中で抱えてる「怒り」や「渇望」を
言語化して、その上で解決策を「提案」するんです",
11,"「おいしい」をアピールする店と
「こういう人の悩みを解決します」と言える店
選ばれるのは、どっちだと思いますか？",
12,"たとえば「週に3回外食してるけど、どこ行っても同じ品揃え」みたいな怒りや
「ちゃんと手作りされたものを、ちゃんと出してほしい」こんな渇望
この感情にあなたのお店がどう提案できるかが重要です",
13,マーケティングとは「誰の不満に、どう応えるか」を明確にすることです,
14,"まずはこの3つを書き出してください
①お客様の怒り
②お客様の渇望
③それを自店がどう提案で解決するか",
15,"この3点セットがあればSNS投稿もチラシも届け方が変わります
あなたの言葉が刺さるようになります",
16,"「想いはある。でも届かへん」
そのもどかしさ、もう終わりにしませんか？",
17,届けるべきは商品じゃなくて誰の不満を救うかという明確な提案なんです,
,,
ネタメモ：PLは％で見れるように,,
シーン,①セリフを考える（ライティング）,
1,ぜんぶ「￥」で見てるうちは経営ではないです,
2,売上は上がってるのに、なぜかお金が残らへん,
3,数字は見てるし仕入れも人件費もちゃんとチェックしとるんやけどな,
4,って人、金額ばかり目が行ってませんか？,
5,そのままやと売上はあるのに潰れる店になりますよ,
6,利益ってどう残すねんって悩み続けてる社長は実に多いです,
7,ほんまは、どの経費をどこまで使っていいかを把握しておきたいですよね？,
8,不安なく確信持って経営したい、それが本音のはず,
9,でも金額面だけじゃなくて、今何がズレてるかが理解できず迷宮入りしてしまいます,
10,"僕もずっと金額で見て数字に振り回されてました
けどこれを比率で見た瞬間に手に取るように数字が管理しやすくなりました",
11,「売上80万で人件費30万」って見るより「人件費率38%」って見た方がブレにすぐ気付けますよね,
12,"例えば売上が10万円増えても人件費率が上がってたら儲け変わりませんよね？
金額じゃなく構造で経営を見るというのはこういうことです",
13,PLは％で見ることで経営の指針になります,
14,まずは「売上」「原価」「人件費」「販促費」「家賃」の比率を全部％で書き出してみてください,
15,基準があれば改善も判断も早くなる上に「この数字、大丈夫か？」と一目でわかるようになります,
16,"今すでに数字に振り回されてるのであれば
％で見る癖をつけるだけ経営が進むので",
17,「￥」から卒業して「％」で経営をしていきましょう,
,,
ネタメモ：カット済みの納品（肉・野菜）→歩留や人件費,,
シーン,①セリフを考える（ライティング）,
1,仕込みに追われて、現場が疲れてませんか？,
2,お客様に喜んでもらおうと凝った物作って,
3,スタッフの負担も大きくなってますよね？,
4,でも、それが当たり前だと思っていませんか？,
5,このままでは、全員の体も心も持たずにお客さま喜ばすどころかスタッフが辞めていきますよ,
6,ほんまはもっとお客様に喜んでもらいたい,
7,そのために料理に集中したい,
8,でも仕込みに追われて、全然できないなんてことありますよね？,
9,その状況変えれるとしたらどうでしょう,
10,方法はシンプルでカット済みの食材を仕入れることで仕込みの時間を大幅に削減できます,
11,その分、スタッフの負担も軽減されてお客様へのサービス向上にもつながります,
12,楽することは決して悪いことではないんです,
13,しかもカット済みの食材を導入することで歩留まりの改善や人件費の削減が可能です,
14,もちろん最初は不安かもしれません,
15,ですが実際に導入した多くの店舗が効果を実感しています,
16,プロセスにこだわるか結果にこだわるかの違いだけなんです,
17,取捨選択をして一緒により良い現場を作っていきましょう,
,,
ネタメモ：加工品を賢く取り入れる,,
シーン,①セリフを考える（ライティング）,
1,加工品を使うのはなんか嫌とかまだ言ってるん？,
2,それ「全部手作りせな」って、自分を追い詰めてるだけやで,
3,気が付いたら丁寧がただの負担になってることってありますよね,
4,それ正義感が空回りしてるだけかもしれません,
5,"その結果
スタッフが辞める→自分が潰れる→お店が回らへん
このループにハマります",
6,"ほんまは加工品使った方が楽になるし早くなるのはもう気づいてるんちゃう？
でも「ラク＝手抜き」やと思って動けへんだけですよね",
7,真面目な人ほど背負いすぎるんですよ,
8,しかも本心は別に手を抜きたいんじゃなくて「質」を守りたいだけなんですよね？,
9,でもお店を守るには何かを削ることも必要なんです,
10,そのための加工品なんです,
11,「全部自家製」より、「使い分けが上手い」方がお店としては今後は強いです,
12,包丁も火も、使い方ひとつで料理が変わるのと同じで加工品も同じツールなんです,
13,加工品はプロが賢く選んで活かすからこそ武器になるんです,
14,例えば、煮物の出汁は業務用の濃縮出汁で時短して、仕上げの風味だけ自家製にするとか,
15,それでもこだわりたいのであればPB商品（プライベートブランド）を作るという選択肢もあります,
16,「削る」「残す」「伸ばす」を整理して、加工品を組み込んでいくことが必須です,
17,"プロが使う加工品やからお店の味になるんです
料理人やからこそ、選ぶ力を養いましょ",
,,
ネタメモ：なぜ新入社員のエンゲージメントが3年で低下するのか,,
シーン,①セリフを考える（ライティング）,
1,「いらっしゃいませ」に心乗ってないスタッフいますよね？,
2,誰よりも意欲あった子が、気づけばただこなすだけになってる,
3,気づいたら笑顔もなくなって辞めそうな雰囲気が…,
4,それ若手の問題じゃなくて仕組みの問題です,
5,ようやく戦力になったタイミングで辞めていかれて結局求人の繰り返し,
6,"最近、若手と目が合わへんわ、質問もして来ぇへんわって感じてますよね？
それ若手からしたらなんとなく失敗できへん空気を感じてるんですよ",
7,怒られへんように動く子はやる気がないんじゃなくてただ怖いだけ,
8,評価されたい。期待されたい。でも怒られるのが怖い。,
9,このストレスを放っておいたら心は勝手に閉じてく,
10,実は「3年目で辞める問題」は成長じゃなくて孤独から来てるんです,
11,「指導」だけしてる会社と、「成長を感じさせてくれる」会社は3年目で圧倒的な差が出ます,
12,"まかないも味だけじゃなくて気持ちまで表れるでしょ？
育成もそれと同じなんです",
13,一緒に戦ってる感覚こそ社員のエンゲージメントの最大化になります,
14,指示じゃなく“問いかけ”を増やして「これ、自分ならどう動く？」って投げるだけでも一つの承認です,
15,"成長の実感を共有してあげて
昨日のミスを今日の糧に変えてあげることで",
16,"「あの子、また笑うようになったな」って感じるようになります
たった一言で職場の空気が変わるなら簡単に取り組めますよね？",
17,"辞めるのは、期待されてないって感じた時
人として向き合いながら心を繋ぎ続けることこそが飲食店の醍醐味じゃないですか？",
,,
ネタメモ：googleマップの口コミ=顧客体験（小手先で上げれるものではない）,,
シーン,①セリフを考える（ライティング）,
1,Google口コミ集めたら逆にお客様激減します！,
2,口コミ用のQRコードの紙貼っても増えへんわぁ,
3,ってお店はお会計時にまさか「口コミお願いします！」とか言ってへんやろな？,
4,小手先で集めた★5は中身の無い★1と同じやからな？,
5,"中身スカスカの口コミが増えても
せっかく口コミ見て来た方にがっかりさせてしまいますよ？",
6,"「口コミお願いします！」って言った時
お客様の「書いときますー」がお世辞なのもう気づいてるでしょ？",
7,口コミが欲しい気持ちはめちゃくちゃわかる,
8,"でも正直評価されたいんじゃなくて
そのお願いしてる口コミは「集客用」でしょ？",
9,"だとしたら本質が間違ってて
お客様は記憶に残る体験がなかったら書いてくれへんねん",
10,「口コミしてもらえるお店」は、お客様の期待を超えた体験ができた時です,
11,安い・早いだけのお店には★3が溜まって、感動のあるお店には★5が自然と並ぶんです,
12,料理が美味しかっただけじゃただの食事で終わってて、「誰と」「どう感じたか」まで記憶に残ってこそ体験になります,
13,口コミはお客様が得た「感動の余熱」が消えて欲しくない時につい書き留めてしまうんです,
14,"名前を呼ぶ、季節を取り入れる、一皿にストーリーを込める
そんな血の通った飲食店経営をすることが一番の近道です",
15,明日からすぐできることであれば「また来たい理由」をたったひとつだけ用意しとく,
16,「あの店、また行きたい」って思った人だけが自ら書く本物の口コミ欲しいですよね？,
17,そのために無理に集めるのではなく自店の見直しからしてみましょう,
,,
ネタメモ：POPの意味,,
シーン,①セリフを考える（ライティング）,
1,POPがない料理は、お客様にとって存在してないのと一緒です,
2,売れないのは、料理が悪いんじゃないんです,
3,"写真は載せてる、メニューにもある、インスタでも出してる
でも、お客さんにその声は届いてへん可能性あります",
4,無言の料理に、お客様は手伸ばしてくれへんよ,
5,"せっかく作った料理が冷蔵庫で眠って気づいたら廃棄
その度に「なんで出えへんねん」って心が折れそうになりますよね",
6,"「うちはちゃんとしたもん出してる」って言いたくなる気持ちめっちゃ分かります
でもちゃんとしてるだけじゃ売れへんのが現実です",
7,自信持って出した料理が、ちゃんと選ばれて、喜んでもらえる未来想像しますよね,
8,"とはいえPOPって書くの面倒やし、店内ごちゃごちゃしてダサくない？って思ってる人多すぎる
正直、僕も最初そうでした",
9,でも、書かへんかったら、その料理はずっと,
10,実はPOPってただの紙じゃなくて厨房から客席に届く唯一の営業スタッフと同じです,
11,POPのある店は料理が勝手に売れて行って、ない店はスタッフが必死に喋らなあかんくなります,
12,料理コンテストで何も説明せんとできた料理だけ出して「評価して」って言いませんよね？,
13,「こだわり」っていうのは、言葉にして初めて伝わります,
14,"「朝5時から仕込んでます」
「これは常連さんが毎回頼む一品です」
「本日限定の食材です」
と書かれているだけで頼みたくなりますよね？",
